CSUF,CSU Foothills Campus                  ColoState,Fri Sep 07 16:00:00 PDT 2001,3.76,162.00
CSUF,CSU Foothills Campus                  ColoState,Fri Sep 07 16:05:00 PDT 2001,4.20,135.00
BMTC2,Blue_Mountain,Fri Sep 07 16:02:00 PDT 2001,4.02,11.00
QURC2,Quincy_Res,Fri Sep 07 16:02:00 PDT 2001,0.80,169.00
DHPC2,Diamond_Hill,Fri Sep 07 16:02:00 PDT 2001,0.00,50.00
EBBC2,Elbert,Fri Sep 07 16:02:00 PDT 2001,4.25,55.00
BHNC2,Brighton,Fri Sep 07 16:02:00 PDT 2001,0.00,17.00
SQWC2,Squaw_Mountain,Fri Sep 07 16:02:00 PDT 2001,4.11,167.00
HGCC2,Hiwan_G.C.,Fri Sep 07 16:02:00 PDT 2001,4.92,0.00
HIGC2,Highlands_Ranch_WTP,Fri Sep 07 16:02:00 PDT 2001,0.00,90.00
SAPC2,Salisbury_Park,Fri Sep 07 16:02:00 PDT 2001,1.74,39.00
COKC2,Castle_Rock,Fri Sep 07 16:02:00 PDT 2001,1.16,22.00
WRDC2,Ward_C-1,Fri Sep 07 16:02:00 PDT 2001,3.89,230.00
SFSC2,Sugarloaf,Fri Sep 07 16:02:00 PDT 2001,1.56,309.00
LEWC2,Louisville_Lake,Fri Sep 07 16:02:00 PDT 2001,4.25,281.00
CALC2,Cal-Wood_Ranch,Fri Sep 07 16:02:00 PDT 2001,1.88,248.00
QBRA3,BLACK ROCK,Fri Sep 07 16:01:00 PDT 2001,2.68,280.00
TR071,NIXON FLATS,Fri Sep 07 16:02:00 PDT 2001,2.24,330.00
QRAA3,RAINBOW,Fri Sep 07 16:00:00 PDT 2001,6.71,40.00
CKSC1,BEN LOMOND,Fri Sep 07 16:01:00 PDT 2001,0.89,350.00
TMPA1,BIG HILL,Fri Sep 07 16:00:00 PDT 2001,1.34,310.00
CTOC1,CORRALITOS,Fri Sep 07 16:02:00 PDT 2001,1.79,30.00
DBLC1,DIABLO GRANDE,Fri Sep 07 16:00:00 PDT 2001,3.13,40.00
EPKC1,EAGLE PEAK,Fri Sep 07 16:00:00 PDT 2001,0.45,190.00
TR125,FENCE MEADOW - FTS,Fri Sep 07 16:01:00 PDT 2001,3.13,290.00
FHCC1,FISH CREEK MOUNTAIN,Fri Sep 07 16:01:00 PDT 2001,4.02,130.00
LAHC1,LA HONDA,Fri Sep 07 16:01:00 PDT 2001,1.79,200.00
LMOC1,LIVERMORE,Fri Sep 07 16:00:00 PDT 2001,7.60,20.00
LTHC1,LOST HORSE,Fri Sep 07 16:01:00 PDT 2001,0.89,300.00
MTQC1,MOUNTAIN REST - FTS,Fri Sep 07 16:01:00 PDT 2001,1.79,220.00
INTC1,PANAMINT,Fri Sep 07 16:01:00 PDT 2001,2.68,230.00
TSCC1,TEMESCAL #1,Fri Sep 07 16:00:00 PDT 2001,0.89,330.00
TR199,TRIMMER - FTS,Fri Sep 07 16:02:00 PDT 2001,2.24,280.00
CISC1,WHITE CLOUD,Fri Sep 07 16:02:00 PDT 2001,1.34,110.00
TR211,LOG SHOOT,Fri Sep 07 16:01:00 PDT 2001,0.00,270.00
BFRI1,BRACE FLAT,Fri Sep 07 16:00:00 PDT 2001,8.05,340.00
F1510,VERNON - FTS,Fri Sep 07 16:01:00 PDT 2001,2.24,160.00
TR269,DERBY MOUNTAIN - FT,Fri Sep 07 16:01:00 PDT 2001,1.34,70.00
TR272,FOUR MILE - FTS,Fri Sep 07 16:00:00 PDT 2001,3.13,340.00
TR275,HEBGEN LAKE - FTS,Fri Sep 07 16:00:00 PDT 2001,4.92,340.00
TR280,NINE MILE - FTS,Fri Sep 07 16:01:00 PDT 2001,3.58,190.00
PRDM8,PARDEE,Fri Sep 07 16:00:00 PDT 2001,2.24,310.00
SPBM8,SPOTTED BEAR RS,Fri Sep 07 16:01:00 PDT 2001,0.00,320.00
TR297,TIMBERCREST - FTS,Fri Sep 07 16:01:00 PDT 2001,2.68,280.00
TR307,COSMIC - PORTABLE,Fri Sep 07 16:00:00 PDT 2001,0.45,80.00
COPN5,SMOKEY BEAR,Fri Sep 07 16:01:00 PDT 2001,2.24,200.00
BWFO3,BROWNS WELL,Fri Sep 07 16:02:00 PDT 2001,6.26,350.00
CLFO3,CALIMUS,Fri Sep 07 16:00:00 PDT 2001,4.92,350.00
CTFO3,CHEMULT,Fri Sep 07 16:00:00 PDT 2001,3.13,210.00
CQFO3,CHILOQUIN,Fri Sep 07 16:00:00 PDT 2001,3.13,70.00
FAFO3,FLAGSTAFF HILL,Fri Sep 07 16:01:00 PDT 2001,13.41,310.00
OYFO3,HOYT CREEK,Fri Sep 07 16:01:00 PDT 2001,1.79,100.00
SHFO3,SAGE HEN,Fri Sep 07 16:00:00 PDT 2001,8.05,20.00
SDFO3,SELDOM CREEK,Fri Sep 07 16:01:00 PDT 2001,1.79,100.00
BRAU1,BEAR RIVER,Fri Sep 07 16:00:00 PDT 2001,3.13,150.00
HOHU1,HORSE HOLLOW,Fri Sep 07 16:01:00 PDT 2001,1.79,320.00
BMTC2,Blue_Mountain,Fri Sep 07 16:17:00 PDT 2001,4.02,296.00
QURC2,Quincy_Res,Fri Sep 07 16:17:00 PDT 2001,0.98,73.00
DHPC2,Diamond_Hill,Fri Sep 07 16:17:00 PDT 2001,0.85,34.00
EBBC2,Elbert,Fri Sep 07 16:17:00 PDT 2001,3.53,47.00
BHNC2,Brighton,Fri Sep 07 16:17:00 PDT 2001,0.00,17.00
SQWC2,Squaw_Mountain,Fri Sep 07 16:17:00 PDT 2001,3.17,209.00
HGCC2,Hiwan_G.C.,Fri Sep 07 16:17:00 PDT 2001,4.47,0.00
HIGC2,Highlands_Ranch_WTP,Fri Sep 07 16:17:00 PDT 2001,0.00,90.00
SAPC2,Salisbury_Park,Fri Sep 07 16:17:00 PDT 2001,1.74,39.00
COKC2,Castle_Rock,Fri Sep 07 16:17:00 PDT 2001,0.80,11.00
WRDC2,Ward_C-1,Fri Sep 07 16:17:00 PDT 2001,4.02,220.00
