QURC2,Quincy_Res,Thu Aug 29 16:00:00 PDT 2002,5.86,310.00
DHPC2,Diamond_Hill,Thu Aug 29 16:00:00 PDT 2002,3.22,320.00
BHNC2,Brighton,Thu Aug 29 16:00:00 PDT 2002,5.23,315.00
HGCC2,Hiwan_G.C.,Thu Aug 29 16:00:00 PDT 2002,4.02,342.00
HIGC2,Highlands_Ranch_WTP,Thu Aug 29 16:00:00 PDT 2002,3.13,0.00
SAPC2,Salisbury_Park,Thu Aug 29 16:00:00 PDT 2002,6.97,0.00
COKC2,Castle_Rock,Thu Aug 29 16:00:00 PDT 2002,3.76,338.00
SFSC2,Sugarloaf,Thu Aug 29 16:00:00 PDT 2002,4.38,231.00
LEWC2,Louisville_Lake,Thu Aug 29 16:00:00 PDT 2002,3.62,186.00
BTRC2,Button_Rock,Thu Aug 29 16:00:00 PDT 2002,0.49,281.00
H0003,Black River Electric   Fredericktown MO,Thu Aug 29 16:00:00 PDT 2002,1.79,40.00
H0344,BlueStar Systems       Milford      OH,Thu Aug 29 16:01:00 PDT 2002,0.89,170.00
H0004,BoblandUSA             San Diego     CA,Thu Aug 29 16:02:00 PDT 2002,1.79,240.00
H0005,Acton         ON,Thu Aug 29 16:01:00 PDT 2002,2.68,120.00
H0010,Mac Weather            Charlottetown PE,Thu Aug 29 16:04:00 PDT 2002,0.00,210.00
H0012,Crowley TX WX Page     Crowley       TX,Thu Aug 29 16:01:00 PDT 2002,2.24,100.00
H0449,West Houston	        Houston	     TX,Thu Aug 29 16:00:00 PDT 2002,1.34,120.00
H0021,St Catharines ON,Thu Aug 29 16:01:00 PDT 2002,0.00,140.00
H0024,Cornelius     OR,Thu Aug 29 16:01:00 PDT 2002,2.68,10.00
H0445,Arlington Street	South Patrick Shores FL,Thu Aug 29 16:00:00 PDT 2002,1.34,80.00
H0416,Appleton     WI,Thu Aug 29 16:02:00 PDT 2002,1.34,210.00
H0030,Harrisburg             Lowville      NY,Thu Aug 29 16:01:00 PDT 2002,0.45,120.00
H0031,Rainbow City  AL,Thu Aug 29 16:00:00 PDT 2002,0.00,30.00
H0032,Hendersonvill TN,Thu Aug 29 16:00:00 PDT 2002,0.45,340.00
H0339,Williams Worship       Bellflower    CA,Thu Aug 29 16:02:00 PDT 2002,2.68,330.00
H0450,Dublin       CA,Thu Aug 29 16:00:00 PDT 2002,1.34,270.00
H0266,Springville Networks   Fortuna       CA,Thu Aug 29 16:01:00 PDT 2002,2.24,290.00
H0158,Lancaster     CA,Thu Aug 29 16:01:00 PDT 2002,4.47,240.00
H0268,Sacramento    CA,Thu Aug 29 16:01:00 PDT 2002,1.34,240.00
H0164,San Luis Obis CA,Thu Aug 29 16:01:00 PDT 2002,3.13,310.00
H0269,South Valley Internet  San Martin    CA,Thu Aug 29 16:00:00 PDT 2002,2.24,170.00
H0259,Pickles Central        San Rafael    CA,Thu Aug 29 16:00:00 PDT 2002,1.34,260.00
H0442,Whittier     CA,Thu Aug 29 16:00:00 PDT 2002,3.13,230.00
H0349,Boulder       CO,Thu Aug 29 16:01:00 PDT 2002,0.00,190.00
H0325,Summit County CO,Thu Aug 29 16:01:00 PDT 2002,0.45,140.00
H0350,Barn Hill              Monroe        CT,Thu Aug 29 16:00:00 PDT 2002,0.45,40.00
H0206,Stonybrook             Norwalk       CT,Thu Aug 29 16:00:00 PDT 2002,1.34,40.00
H0036,Dunstable     MA,Thu Aug 29 16:00:00 PDT 2002,0.00,130.00
H0038,Kennesaw      GA,Thu Aug 29 16:02:00 PDT 2002,1.79,210.00
H0224,Boynton Beach FL,Thu Aug 29 16:00:00 PDT 2002,4.47,90.00
H0351,Port St. John Weather  Cocoa         FL,Thu Aug 29 16:01:00 PDT 2002,0.00,40.00
H0270,Margate       FL,Thu Aug 29 16:02:00 PDT 2002,1.34,130.00
H0240,Santa Rosa Sound       Navarre       FL,Thu Aug 29 16:02:00 PDT 2002,1.79,60.00
H0315,Memory Makers, Inc.    Sebastian     FL,Thu Aug 29 16:03:00 PDT 2002,0.00,120.00
H0409,Auburn       GA,Thu Aug 29 16:01:00 PDT 2002,0.00,360.00
H0296,KD4K                   Cumming       GA,Thu Aug 29 16:01:00 PDT 2002,0.45,120.00
H0041,Piedmont Triad Weather Greensboro    NC,Thu Aug 29 16:02:00 PDT 2002,0.00,70.00
