BMTC2,Blue_Mountain,Tue Aug 05 16:00:00 PDT 2003,3.13,0.00
QURC2,Quincy_Res,Tue Aug 05 16:00:00 PDT 2003,0.76,259.00
DHPC2,Diamond_Hill,Tue Aug 05 16:00:00 PDT 2003,0.27,96.00
EBBC2,Elbert,Tue Aug 05 16:00:00 PDT 2003,5.28,135.00
BHNC2,Brighton,Tue Aug 05 16:00:00 PDT 2003,1.12,338.00
SQWC2,Squaw_Mountain,Tue Aug 05 16:00:00 PDT 2003,2.32,194.00
HGCC2,Hiwan_G.C.,Tue Aug 05 16:00:00 PDT 2003,2.68,215.00
HIGC2,Highlands_Ranch_WTP,Tue Aug 05 16:00:00 PDT 2003,2.19,73.00
SAPC2,Salisbury_Park,Tue Aug 05 16:00:00 PDT 2003,1.30,197.00
COKC2,Castle_Rock,Tue Aug 05 16:00:00 PDT 2003,1.70,146.00
WRDC2,Ward_C-1,Tue Aug 05 16:00:00 PDT 2003,0.40,56.00
SFSC2,Sugarloaf,Tue Aug 05 16:00:00 PDT 2003,1.79,96.00
LEWC2,Louisville_Lake,Tue Aug 05 16:00:00 PDT 2003,0.67,50.00
CALC2,Cal-Wood_Ranch,Tue Aug 05 16:00:00 PDT 2003,1.07,68.00
BTRC2,Button_Rock,Tue Aug 05 16:00:00 PDT 2003,1.12,124.00
JAYF1,Jay                                    FAWN,Tue Aug 05 16:00:00 PDT 2003,0.55,334.90
QUIF1,Quincy                                 FAWN,Tue Aug 05 16:00:00 PDT 2003,2.56,229.20
LIOF1,Live Oak                               FAWN,Tue Aug 05 16:00:00 PDT 2003,2.70,263.50
MACF1,Macclenny                              FAWN,Tue Aug 05 16:00:00 PDT 2003,1.47,200.20
BRZF1,Bronson                                FAWN,Tue Aug 05 16:00:00 PDT 2003,0.71,224.40
PHAF1,Putnam Hall                            FAWN,Tue Aug 05 16:00:00 PDT 2003,0.70,193.80
TRAF1,Citra                                  FAWN,Tue Aug 05 16:00:00 PDT 2003,1.83,201.10
STNF1,Hastings                               FAWN,Tue Aug 05 16:00:00 PDT 2003,2.94,214.70
CKHF1,Ocklawaha                              FAWN,Tue Aug 05 16:00:00 PDT 2003,0.45,185.80
EPRF1,Pierson                                FAWN,Tue Aug 05 16:00:00 PDT 2003,0.95,164.30
VRSF1,Tavares                                FAWN,Tue Aug 05 16:00:00 PDT 2003,1.98,135.19
UMLF1,Umatilla                               FAWN,Tue Aug 05 16:00:00 PDT 2003,1.58,123.80
KHPF1,Okahumpka                              FAWN,Tue Aug 05 16:00:00 PDT 2003,3.81,126.20
VLNF1,Avalon                                 FAWN,Tue Aug 05 16:00:00 PDT 2003,2.28,139.90
KSLF1,Brooksville                            FAWN,Tue Aug 05 16:00:00 PDT 2003,2.69,73.20
POPF1,Apopka                                 FAWN,Tue Aug 05 16:00:00 PDT 2003,2.41,111.90
KENF1,Kenansville                            FAWN,Tue Aug 05 16:00:00 PDT 2003,3.44,9.69
DOVF1,Dover                                  FAWN,Tue Aug 05 16:00:00 PDT 2003,2.01,127.30
DNTF1,Bradenton                              FAWN,Tue Aug 05 16:00:00 PDT 2003,1.71,325.60
