BMTC2,Blue_Mountain,Tue Sep 16 16:00:00 PDT 2003,0.89,258.00
QURC2,Quincy_Res,Tue Sep 16 16:00:00 PDT 2003,1.25,248.00
DHPC2,Diamond_Hill,Tue Sep 16 16:00:00 PDT 2003,2.19,287.00
EBBC2,Elbert,Tue Sep 16 16:00:00 PDT 2003,8.90,260.00
SQWC2,Squaw_Mountain,Tue Sep 16 16:00:00 PDT 2003,5.05,207.00
HGCC2,Hiwan_G.C.,Tue Sep 16 16:00:00 PDT 2003,1.79,280.00
HIGC2,Highlands_Ranch_WTP,Tue Sep 16 16:00:00 PDT 2003,5.28,264.00
SAPC2,Salisbury_Park,Tue Sep 16 16:00:00 PDT 2003,5.59,287.00
COKC2,Castle_Rock,Tue Sep 16 16:00:00 PDT 2003,5.54,281.00
WRDC2,Ward_C-1,Tue Sep 16 16:00:00 PDT 2003,1.52,242.00
SFSC2,Sugarloaf,Tue Sep 16 16:00:00 PDT 2003,1.97,208.00
LEWC2,Louisville_Lake,Tue Sep 16 16:00:00 PDT 2003,1.12,56.00
CALC2,Cal-Wood_Ranch,Tue Sep 16 16:00:00 PDT 2003,0.40,248.00
BTRC2,Button_Rock,Tue Sep 16 16:00:00 PDT 2003,0.98,220.00
DUD06,Marston_Lake_North,Tue Sep 16 16:00:00 PDT 2003,4.69,275.00
H0002,KNCTODD1               Jefferson     NC,Tue Sep 16 16:01:00 PDT 2003,0.00,40.00
H0003,Black River Electric   Fredericktown MO,Tue Sep 16 16:02:00 PDT 2003,2.24,190.00
H0344,BlueStar Systems       Milford      OH,Tue Sep 16 16:00:00 PDT 2003,0.00,360.00
H0004,BoblandUSA             San Diego     CA,Tue Sep 16 16:02:00 PDT 2003,0.45,250.00
H0364,BoltAssociates         Beltsville    MD,Tue Sep 16 16:02:00 PDT 2003,0.00,350.00
H0457,Corte Madera CA,Tue Sep 16 16:01:00 PDT 2003,4.47,290.00
H0010,Mac Weather            Charlottetown PE,Tue Sep 16 16:03:00 PDT 2003,0.00,200.00
H0012,Crowley TX WX Page     Crowley       TX,Tue Sep 16 16:01:00 PDT 2003,1.79,190.00
H0549,Danville		Alum Springs KY,Tue Sep 16 16:01:00 PDT 2003,0.00,110.00
H0017,Olathe        KS,Tue Sep 16 16:01:00 PDT 2003,1.79,150.00
H0020,Gilbert       AZ,Tue Sep 16 16:03:00 PDT 2003,1.79,150.00
H0460,ValleyView Ranch       Reasnor      IA,Tue Sep 16 16:00:00 PDT 2003,2.24,150.00
H0021,St Catharines ON,Tue Sep 16 16:02:00 PDT 2003,0.00,220.00
H0024,Cornelius     OR,Tue Sep 16 16:01:00 PDT 2003,1.79,300.00
H0025,Dickinson     TX,Tue Sep 16 16:02:00 PDT 2003,1.79,120.00
H0461,Westford     MA,Tue Sep 16 16:03:00 PDT 2003,0.00,10.00
H0029,Affton        MO,Tue Sep 16 16:01:00 PDT 2003,1.34,160.00
H0299,KALB Studios           Alexandria    LA,Tue Sep 16 16:00:00 PDT 2003,1.34,90.00
H0182,Apache Juncti AZ,Tue Sep 16 16:01:00 PDT 2003,2.24,260.00
H0462,Chandler     AZ,Tue Sep 16 16:00:00 PDT 2003,1.79,270.00
