BMTC2,Blue_Mountain,Sun Aug 17 15:00:00 PDT 2003,1.79,11.00
QURC2,Quincy_Res,Sun Aug 17 15:00:00 PDT 2003,0.85,197.00
DHPC2,Diamond_Hill,Sun Aug 17 15:00:00 PDT 2003,1.70,242.00
EBBC2,Elbert,Sun Aug 17 15:00:00 PDT 2003,3.89,344.00
BHNC2,Brighton,Sun Aug 17 15:00:00 PDT 2003,0.80,298.00
SQWC2,Squaw_Mountain,Sun Aug 17 15:00:00 PDT 2003,2.41,282.00
HGCC2,Hiwan_G.C.,Sun Aug 17 15:00:00 PDT 2003,1.79,264.00
HIGC2,Highlands_Ranch_WTP,Sun Aug 17 15:00:00 PDT 2003,1.25,28.00
SAPC2,Salisbury_Park,Sun Aug 17 15:00:00 PDT 2003,2.50,22.00
COKC2,Castle_Rock,Sun Aug 17 15:00:00 PDT 2003,0.98,28.00
WRDC2,Ward_C-1,Sun Aug 17 15:00:00 PDT 2003,4.83,242.00
SFSC2,Sugarloaf,Sun Aug 17 15:00:00 PDT 2003,1.65,259.00
LEWC2,Louisville_Lake,Sun Aug 17 15:00:00 PDT 2003,3.22,214.00
CALC2,Cal-Wood_Ranch,Sun Aug 17 15:00:00 PDT 2003,0.49,214.00
BTRC2,Button_Rock,Sun Aug 17 15:00:00 PDT 2003,0.36,270.00
DUD06,Marston_Lake_North,Sun Aug 17 15:00:00 PDT 2003,1.03,350.00
H0003,Black River Electric   Fredericktown MO,Sun Aug 17 15:00:00 PDT 2003,1.34,360.00
H0344,BlueStar Systems       Milford      OH,Sun Aug 17 15:00:00 PDT 2003,2.24,190.00
H0004,BoblandUSA             San Diego     CA,Sun Aug 17 15:02:00 PDT 2003,2.24,330.00
H0364,BoltAssociates         Beltsville    MD,Sun Aug 17 15:01:00 PDT 2003,0.45,320.00
H0457,Corte Madera CA,Sun Aug 17 15:01:00 PDT 2003,2.24,170.00
H0010,Mac Weather            Charlottetown PE,Sun Aug 17 15:00:00 PDT 2003,0.00,0.00
H0017,Olathe        KS,Sun Aug 17 15:01:00 PDT 2003,3.13,250.00
H0020,Gilbert       AZ,Sun Aug 17 15:01:00 PDT 2003,0.89,310.00
H0460,ValleyView Ranch       Reasnor      IA,Sun Aug 17 15:00:00 PDT 2003,2.68,70.00
H0024,Cornelius     OR,Sun Aug 17 15:01:00 PDT 2003,0.89,360.00
H0025,Dickinson     TX,Sun Aug 17 15:01:00 PDT 2003,1.34,210.00
H0029,Affton        MO,Sun Aug 17 15:00:00 PDT 2003,0.00,0.00
H0299,KALB Studios           Alexandria    LA,Sun Aug 17 15:00:00 PDT 2003,1.79,120.00
H0245,Mobile        AL,Sun Aug 17 15:01:00 PDT 2003,0.00,230.00
H0182,Apache Juncti AZ,Sun Aug 17 15:01:00 PDT 2003,1.34,300.00
H0462,Chandler     AZ,Sun Aug 17 15:00:00 PDT 2003,1.34,310.00
H0163,Aspen Trails Subdiv. WX Flagstaff    AZ,Sun Aug 17 15:03:00 PDT 2003,0.00,200.00
H0322,Phoenix       AZ,Sun Aug 17 15:00:00 PDT 2003,3.58,250.00
H0489,Pagosa Springs CO,Sun Aug 17 15:00:00 PDT 2003,0.45,100.00
H0031,Rainbow City  AL,Sun Aug 17 15:00:00 PDT 2003,0.00,110.00
H0032,Hendersonvill TN,Sun Aug 17 15:00:00 PDT 2003,0.00,350.00
H0498,Balboa	     CA,Sun Aug 17 15:01:00 PDT 2003,2.24,250.00
H0339,Williams Worship       Bellflower    CA,Sun Aug 17 15:00:00 PDT 2003,2.68,270.00
H0464,Citrus Heights CA,Sun Aug 17 15:00:00 PDT 2003,1.34,110.00
H0300,Cloverdale    CA,Sun Aug 17 15:02:00 PDT 2003,0.45,150.00
H0223,Petroglyph Computing   Crestline     CA,Sun Aug 17 15:02:00 PDT 2003,0.89,10.00
H0450,Dublin       CA,Sun Aug 17 15:00:00 PDT 2003,0.89,130.00
H0560,El Dorado Hills	Dartboard Wx CA,Sun Aug 17 15:00:00 PDT 2003,3.13,220.00
H0232,Emerald Hills          Redwood City  CA,Sun Aug 17 15:01:00 PDT 2003,1.34,0.00
H0346,California Hills       Folsom        CA,Sun Aug 17 15:01:00 PDT 2003,2.24,260.00
H0266,Springville Networks   Fortuna       CA,Sun Aug 17 15:00:00 PDT 2003,3.58,290.00
H0562,Grizzly Flats			     CA,Sun Aug 17 15:03:00 PDT 2003,0.00,180.00
H0333,Cathouse Backyard WX   Lakeside      CA,Sun Aug 17 15:02:00 PDT 2003,1.79,290.00
H0158,Lancaster     CA,Sun Aug 17 15:01:00 PDT 2003,0.89,30.00
H0503,Oakland	     CA,Sun Aug 17 15:02:00 PDT 2003,1.34,240.00
H0465,Occidental   CA,Sun Aug 17 15:01:00 PDT 2003,1.34,290.00
H0564,Rohnert Park			     CA,Sun Aug 17 15:00:00 PDT 2003,0.89,280.00
H0268,Sacramento    CA,Sun Aug 17 15:00:00 PDT 2003,0.89,320.00
H0164,San Luis Obis CA,Sun Aug 17 15:00:00 PDT 2003,8.49,300.00
H0269,South Valley Internet  San Martin    CA,Sun Aug 17 15:00:00 PDT 2003,1.79,90.00
H0259,Pickles Central        San Rafael    CA,Sun Aug 17 15:00:00 PDT 2003,1.34,280.00
H0452,Santa Rosa   CA,Sun Aug 17 15:00:00 PDT 2003,0.89,200.00
H0442,Whittier     CA,Sun Aug 17 15:00:00 PDT 2003,2.68,240.00
H0349,Boulder       CO,Sun Aug 17 15:01:00 PDT 2003,2.24,290.00
H0566,Crestone			     CO,Sun Aug 17 15:02:00 PDT 2003,4.02,270.00
H0185,On the Mesa            Meeker        CO,Sun Aug 17 15:00:00 PDT 2003,0.00,200.00
H0305,Cozmos Weather Watch   Pueblo        CO,Sun Aug 17 15:02:00 PDT 2003,2.24,160.00
H0325,Summit County CO,Sun Aug 17 15:00:00 PDT 2003,0.89,260.00
H0035,Bristol, VA WX Station Bristol       VA,Sun Aug 17 15:02:00 PDT 2003,0.00,110.00
H0036,Dunstable     MA,Sun Aug 17 15:00:00 PDT 2003,0.00,130.00
H0040,Sebastopol    CA,Sun Aug 17 15:01:00 PDT 2003,3.58,250.00
H0224,Boynton Beach FL,Sun Aug 17 15:00:00 PDT 2003,0.00,120.00
H0295,Lake Mary     FL,Sun Aug 17 15:02:00 PDT 2003,0.00,290.00
H0270,Margate       FL,Sun Aug 17 15:01:00 PDT 2003,2.24,150.00
H0240,Santa Rosa Sound       Navarre       FL,Sun Aug 17 15:02:00 PDT 2003,2.68,220.00
H0312,Satellite Bea FL,Sun Aug 17 15:00:00 PDT 2003,4.92,120.00
H0509,Buchanan     GA,Sun Aug 17 15:00:00 PDT 2003,0.00,170.00
H0296,KD4K                   Cumming       GA,Sun Aug 17 15:03:00 PDT 2003,0.00,330.00
H0186,Dalton        GA,Sun Aug 17 15:02:00 PDT 2003,0.89,340.00
H0234,Roswell       GA,Sun Aug 17 15:02:00 PDT 2003,0.00,60.00
H0571,Hemet				     CA,Sun Aug 17 15:00:00 PDT 2003,2.24,200.00
H0573,Charles City			     IA,Sun Aug 17 15:03:00 PDT 2003,3.13,240.00
H0183,New Hampton   IA,Sun Aug 17 15:03:00 PDT 2003,4.02,120.00
H0195,Van Meter     IA,Sun Aug 17 15:00:00 PDT 2003,0.89,90.00
H0167,Northern Idaho Weather Coeur D' Alen ID,Sun Aug 17 15:01:00 PDT 2003,0.89,220.00
H0427,Bloomington  IL,Sun Aug 17 15:01:00 PDT 2003,0.89,90.00
H0261,Crystal Lake  IL,Sun Aug 17 15:00:00 PDT 2003,2.68,80.00
H0287,Arlington Center       Arlington     MA,Sun Aug 17 15:02:00 PDT 2003,0.00,20.00
H0577,Barre	Dog Corner		     MA,Sun Aug 17 15:01:00 PDT 2003,0.00,130.00
H0272,WoodvilleGr1           Hopkinton     MA,Sun Aug 17 15:00:00 PDT 2003,1.34,140.00
H0518,Lynn	     MA,Sun Aug 17 15:00:00 PDT 2003,1.34,30.00
H0297,Uxbridge      MA,Sun Aug 17 15:03:00 PDT 2003,0.00,250.00
H0373,Parchment/Spring Valley Kalamazoo   MI,Sun Aug 17 15:00:00 PDT 2003,0.89,10.00
H0253,Blaine        MN,Sun Aug 17 15:00:00 PDT 2003,0.89,110.00
H0307,Bloomington   MN,Sun Aug 17 15:00:00 PDT 2003,0.00,160.00
H0273,Minnesotaweathernet    Franklin      MN,Sun Aug 17 15:00:00 PDT 2003,4.92,150.00
H0354,Monticello    MN,Sun Aug 17 15:01:00 PDT 2003,4.92,150.00
H0342,Gideon School District Gideon        MO,Sun Aug 17 15:00:00 PDT 2003,1.34,210.00
H0491,Greensboro   NC,Sun Aug 17 15:03:00 PDT 2003,0.00,260.00
H0263,WeatherSource          Shelby        NC,Sun Aug 17 15:00:00 PDT 2003,0.00,140.00
H0387,North Holmes           Lake Lincoln NE,Sun Aug 17 15:00:00 PDT 2003,0.89,190.00
H0241,Omaha         NE,Sun Aug 17 15:00:00 PDT 2003,2.68,160.00
H0289,Omaha         NE,Sun Aug 17 15:00:00 PDT 2003,0.89,190.00
H0582,East Millstone			     NJ,Sun Aug 17 15:00:00 PDT 2003,0.00,280.00
H0476,Hopewell     NJ,Sun Aug 17 15:00:00 PDT 2003,0.00,130.00
H0177,Highland Lakes         Vernon Twsp   NJ,Sun Aug 17 15:01:00 PDT 2003,0.00,40.00
H0172,Morgan Lake at 4 Crnrs Upper Fruitla NM,Sun Aug 17 15:00:00 PDT 2003,2.24,290.00
H0302,Cuba          NY,Sun Aug 17 15:04:00 PDT 2003,4.47,200.00
H0290,Rochester     NY,Sun Aug 17 15:02:00 PDT 2003,2.68,290.00
H0304,Edmunds Weather        Smithtown     NY,Sun Aug 17 15:03:00 PDT 2003,2.68,180.00
H0395,Mecox Bay              Water Mill   NY,Sun Aug 17 15:01:00 PDT 2003,1.34,60.00
H0291,Colerain Township      Cincinnati    OH,Sun Aug 17 15:01:00 PDT 2003,0.00,270.00
H0309,Columbus      OH,Sun Aug 17 15:00:00 PDT 2003,2.68,30.00
H0220,Hillsboro     OR,Sun Aug 17 15:00:00 PDT 2003,0.00,160.00
H0492,Rock Creek, Hillsboro  Portland     OR,Sun Aug 17 15:01:00 PDT 2003,0.89,10.00
H0227,Turner        OR,Sun Aug 17 15:00:00 PDT 2003,4.47,340.00
H0440,Broomall     PA,Sun Aug 17 15:00:00 PDT 2003,0.45,0.00
H0160,Collinsville  PA,Sun Aug 17 15:01:00 PDT 2003,0.00,320.00
H0336,Malvern       PA,Sun Aug 17 15:00:00 PDT 2003,0.00,50.00
H0229,Audubon Society of W PA Fox Chapel   PA,Sun Aug 17 15:00:00 PDT 2003,0.45,290.00
H0043,WX for West PA/East OH Sharon        PA,Sun Aug 17 15:01:00 PDT 2003,4.02,20.00
H0044,Portsmouth WX Rec Svc  Portsmouth    VA,Sun Aug 17 15:02:00 PDT 2003,0.00,250.00
H0313,BosWeather             Greer         SC,Sun Aug 17 15:03:00 PDT 2003,1.34,290.00
H0116,Boones Creek Weather   Salem         SC,Sun Aug 17 15:00:00 PDT 2003,0.00,210.00
H0479,West Columbia SC,Sun Aug 17 15:01:00 PDT 2003,0.00,270.00
H0329,Williamston   SC,Sun Aug 17 15:00:00 PDT 2003,0.45,260.00
H0447,Downtown               Santa Rosa   CA,Sun Aug 17 15:02:00 PDT 2003,2.68,190.00
H0396,Williamson             County Franklin TN,Sun Aug 17 15:00:00 PDT 2003,0.45,270.00
H0235,Lebanon       TN,Sun Aug 17 15:02:00 PDT 2003,0.00,330.00
H0590,Portland			     TN,Sun Aug 17 15:00:00 PDT 2003,0.45,360.00
H0310,SSC                    Abilene       TX,Sun Aug 17 15:03:00 PDT 2003,1.79,140.00
H0318,Austin        TX,Sun Aug 17 15:00:00 PDT 2003,0.45,120.00
H0236,Burk                   Burnett       TX,Sun Aug 17 15:02:00 PDT 2003,1.79,220.00
H0202,KC4WTI                 Irving        TX,Sun Aug 17 15:02:00 PDT 2003,0.00,120.00
H0360,Corinth       TX,Sun Aug 17 15:04:00 PDT 2003,2.24,150.00
H0591,Dallas	Oak Cliff		     TX,Sun Aug 17 15:00:00 PDT 2003,0.00,0.00
H0194,Fort Davis    TX,Sun Aug 17 15:01:00 PDT 2003,0.00,120.00
H0180,Georgetown    TX,Sun Aug 17 15:02:00 PDT 2003,1.34,110.00
H0311,Clear Lake City WX     Houston       TX,Sun Aug 17 15:01:00 PDT 2003,1.79,170.00
H0430,San Patricio           Mathis	     TX,Sun Aug 17 15:01:00 PDT 2003,0.45,130.00
H0230,Riverbend WA5KXX       Plano         TX,Sun Aug 17 15:00:00 PDT 2003,1.34,170.00
H0280,Taylor        TX,Sun Aug 17 15:00:00 PDT 2003,0.00,180.00
H0362,Salt Lake Cty UT,Sun Aug 17 15:00:00 PDT 2003,0.00,340.00
H0293,Harrisonburg  VA,Sun Aug 17 15:01:00 PDT 2003,0.89,360.00
H0281,WREL WeatherCenter     Lexington     VA,Sun Aug 17 15:01:00 PDT 2003,0.00,230.00
H0221,WA6MVG                 Auburn        WA,Sun Aug 17 15:00:00 PDT 2003,0.89,10.00
H0363,Darrington    WA,Sun Aug 17 15:04:00 PDT 2003,1.34,210.00
H0481,Kenmore      WA,Sun Aug 17 15:02:00 PDT 2003,2.68,340.00
H0597,Vancouver			     WA,Sun Aug 17 15:02:00 PDT 2003,3.13,320.00
H0331,Walnut Grove           Vancouver     WA,Sun Aug 17 15:00:00 PDT 2003,0.00,30.00
H0598,Vancouver		Lutegrad Weather WA,Sun Aug 17 15:01:00 PDT 2003,1.34,260.00
H0490,Sylmar       CA,Sun Aug 17 15:00:00 PDT 2003,0.00,190.00
H0423,Middleboro   MA,Sun Aug 17 15:00:00 PDT 2003,0.00,40.00
H0603,Concord		Muncheeville CA,Sun Aug 17 15:02:00 PDT 2003,2.24,260.00
H0052,New Milford Weather    New Milford   CT,Sun Aug 17 15:02:00 PDT 2003,0.00,50.00
H0482,Savage       MN,Sun Aug 17 15:02:00 PDT 2003,1.34,190.00
