YEAR,MONTH,DAY,STID,PDIR,WSPD
2012,6,10,WASH,6,13.49
2012,6,11,WASH,6,8.08
2012,6,12,WASH,5,7.73
2012,6,13,WASH,6,8.67
2012,6,14,WASH,6,11.86
2012,6,15,WASH,7,10.45
2012,6,16,WASH,6,8.9
2012,6,17,WASH,7,10.22
2012,6,18,WASH,7,14.18
2012,6,19,WASH,7,16.69
2012,6,20,WASH,7,14.55
2012,6,21,WASH,8,6.21
2012,6,22,WASH,2,4.83
2012,6,23,WASH,8,8.38
2012,6,24,WASH,-996,5.23
2012,6,25,WASH,-996,3.74
2012,6,26,WASH,-996,4.05
2012,6,27,WASH,7,8.51
2012,6,28,WASH,7,8.74
2012,6,29,WASH,8,9.51
2012,6,30,WASH,8,9.22
2012,7,1,WASH,7,9.21
2012,7,2,WASH,8,11.36
2012,7,3,WASH,7,12.24
2012,7,4,WASH,8,10.39
2012,7,5,WASH,7,8.46
2012,7,6,WASH,8,6.31
2012,7,7,WASH,-996,5.94
2012,7,8,WASH,-996,4.57
2012,7,9,WASH,0,7.89
2012,7,10,WASH,2,5.84
2012,7,11,WASH,-996,5.09
2012,7,12,WASH,-996,4.4
2012,7,13,WASH,-996,4.55
2012,7,14,WASH,-996,5.19
2012,7,15,WASH,5,6.9
2012,7,16,WASH,7,9.1
2012,7,17,WASH,8,9.96
2012,7,18,WASH,8,8.66
2012,7,19,WASH,10,7.66
2012,7,20,WASH,11,6.15
2012,7,21,WASH,3,7.14
2012,7,22,WASH,5,8.8
2012,7,23,WASH,6,10.09
2012,7,24,WASH,7,11.09
2012,7,25,WASH,8,13.53
2012,7,26,WASH,9,9.01
2012,7,27,WASH,7,5.29
2012,7,28,WASH,-996,5.55
2012,7,29,WASH,9,7.34
2012,7,30,WASH,8,8.9
2012,7,31,WASH,9,7.9
2012,8,1,WASH,8,8.2
2012,8,2,WASH,9,10.55
2012,8,3,WASH,8,12.57
2012,8,4,WASH,8,10.78
2012,8,5,WASH,1,8.32
2012,8,6,WASH,5,4.87
2012,8,7,WASH,5,5.6
2012,8,8,WASH,0,6.43
2012,8,9,WASH,0,9.32
2012,8,10,WASH,1,9.91
2012,8,11,WASH,6,6.59
2012,8,12,WASH,6,9.03
2012,8,13,WASH,0,8.43
2012,8,14,WASH,4,10.19
2012,8,15,WASH,6,9.2
2012,8,16,WASH,9,8.23
2012,8,17,WASH,1,7.81
2012,8,18,WASH,5,6.98
2012,8,19,WASH,-996,6.72
2012,8,20,WASH,0,5.5
2012,8,21,WASH,9,6.14
2012,8,22,WASH,-996,7.13
2012,8,23,WASH,6,9.46
2012,8,24,WASH,7,11.35
2012,8,25,WASH,7,12.28
2012,8,26,WASH,7,4.94
2012,8,27,WASH,1,7.43
2012,8,28,WASH,1,9.23
2012,8,29,WASH,1,6.86
2012,8,30,WASH,1,7.98
2012,8,31,WASH,13,6.74
2012,9,1,WASH,1,4.17
2012,9,2,WASH,9,5.71
2012,9,3,WASH,9,6.83
2012,9,4,WASH,9,5.46
2012,9,5,WASH,2,4.6
2012,9,6,WASH,9,6.14
2012,9,7,WASH,0,11.21
2012,9,8,WASH,0,9.72
2012,9,9,WASH,-996,4.74
2012,9,10,WASH,8,5.23
2012,9,11,WASH,8,9.38
2012,9,12,WASH,7,10.37
2012,9,13,WASH,0,9.91
2012,9,14,WASH,0,8.87
2012,9,15,WASH,-996,2.5
2012,9,16,WASH,-996,4.24
2012,9,17,WASH,-996,3.9
2012,9,18,WASH,0,7.26
2012,9,19,WASH,8,9.04
2012,9,20,WASH,9,7.55
2012,9,21,WASH,9,8.02
2012,9,22,WASH,-996,6.31
2012,9,23,WASH,2,6.65
2012,9,24,WASH,8,10.96
2012,9,25,WASH,8,14.54
2012,9,26,WASH,9,12.46
2012,9,27,WASH,0,6.47
