YEAR,MONTH,DAY,STID,PDIR,WSPD
2013,1,1,WASH,15,11.12
2013,1,2,WASH,12,6.91
2013,1,3,WASH,15,6.65
2013,1,4,WASH,-996,5.57
2013,1,5,WASH,8,8.98
2013,1,6,WASH,-996,6.38
2013,1,7,WASH,-996,5.5
2013,1,8,WASH,7,5.77
2013,1,9,WASH,1,12.08
2013,1,10,WASH,4,8.87
2013,1,11,WASH,8,11.76
2013,1,12,WASH,0,13.71
2013,1,13,WASH,0,11.82
2013,1,14,WASH,1,8.87
2013,1,15,WASH,0,8.4
2013,1,16,WASH,-996,5.46
2013,1,17,WASH,-996,8.12
2013,1,18,WASH,-996,8.31
2013,1,19,WASH,-996,5.95
2013,1,20,WASH,1,6.63
2013,1,21,WASH,1,8.82
2013,1,22,WASH,8,5.34
2013,1,23,WASH,-996,4.94
2013,1,24,WASH,2,8.48
2013,1,25,WASH,1,6.57
2013,1,26,WASH,6,7.5
2013,1,27,WASH,7,13.02
2013,1,28,WASH,8,14.75
2013,1,29,WASH,8,11.72
2013,1,30,WASH,14,14.13
2013,1,31,WASH,-996,8.65
2013,2,1,WASH,7,7.56
2013,2,2,WASH,0,7.02
2013,2,3,WASH,7,8
2013,2,4,WASH,1,7.94
2013,2,5,WASH,-996,3.82
2013,2,6,WASH,-996,8.03
2013,2,7,WASH,15,11.74
2013,2,8,WASH,0,7.91
2013,2,9,WASH,6,12.83
2013,2,10,WASH,11,10.18
2013,2,11,WASH,2,7.79
2013,2,12,WASH,1,9.72
2013,2,13,WASH,12,6.17
2013,2,14,WASH,-996,6.76
2013,2,15,WASH,0,9.37
2013,2,16,WASH,15,6.88
2013,2,17,WASH,-996,11.78
2013,2,18,WASH,15,16.87
2013,2,19,WASH,4,6.62
2013,2,20,WASH,5,12.79
2013,2,21,WASH,14,12.93
2013,2,22,WASH,15,8.79
2013,2,23,WASH,-996,4.24
2013,2,24,WASH,6,11.71
2013,2,25,WASH,15,15.33
2013,2,26,WASH,14,14.69
