YEAR,MONTH,DAY,STID,PDIR,WSPD
2015,1,1,ACME,-996,3.82
2015,1,2,ACME,-996,4.18
2015,1,3,ACME,-996,6.46
2015,1,4,ACME,0,14.02
2015,1,5,ACME,8,11.67
2015,1,6,ACME,1,8.76
2015,1,7,ACME,1,18.51
2015,1,8,ACME,-996,10.82
2015,1,9,ACME,1,11.78
2015,1,10,ACME,8,11.54
2015,1,11,ACME,7,9.13
2015,1,12,ACME,0,15.34
2015,1,13,ACME,1,8.45
2015,1,14,ACME,-996,3.08
2015,1,15,ACME,-996,4.18
2015,1,16,ACME,-996,9.13
2015,1,17,ACME,0,13.62
2015,1,18,ACME,-996,11.89
2015,1,19,ACME,-996,5.17
2015,1,20,ACME,-996,9.82
2015,1,21,ACME,-996,7.99
2015,1,22,ACME,2,9.68
2015,1,23,ACME,13,7.06
2015,1,24,ACME,13,7.91
2015,1,25,ACME,14,12.98
2015,1,26,ACME,-996,5.82
2015,1,27,ACME,-996,5.49
2015,1,28,ACME,9,12.39
2015,1,29,ACME,0,14.54
2015,1,30,ACME,3,5.13
2015,1,31,ACME,7,10.01
2015,2,1,ACME,15,16.85
2015,2,2,ACME,0,8.07
2015,2,3,ACME,8,14.49
2015,2,4,ACME,-996,-996
2015,2,5,ACME,-996,-996
2015,2,6,ACME,8,15.82
2015,2,7,ACME,8,16.55
2015,2,8,ACME,-996,7.66
2015,2,9,ACME,-996,5.49
2015,2,10,ACME,6,12.71
2015,2,11,ACME,1,15.13
2015,2,12,ACME,1,6.81
2015,2,13,ACME,-996,9.48
2015,2,14,ACME,10,9.06
2015,2,15,ACME,-996,-996
2015,2,16,ACME,-996,-996
2015,2,17,ACME,-996,6.77
2015,2,18,ACME,-996,5.91
2015,2,19,ACME,-996,-996
2015,2,20,ACME,7,13.83
2015,2,21,ACME,1,13.74
2015,2,22,ACME,1,18.6
2015,2,23,ACME,1,14.09
2015,2,24,ACME,9,5.78
2015,2,25,ACME,-996,7.06
2015,2,26,ACME,1,20.77
2015,2,27,ACME,3,9.74
2015,2,28,ACME,-996,4.62
2015,3,1,ACME,1,7.12
2015,3,2,ACME,1,7.15
2015,3,3,ACME,9,11.03
2015,3,4,ACME,1,19.3
2015,3,5,ACME,-996,5.66
2015,3,6,ACME,8,11.82
2015,3,7,ACME,8,9.84
2015,3,8,ACME,8,11
2015,3,9,ACME,3,6.27
2015,3,10,ACME,0,5.27
2015,3,11,ACME,-996,3.84
2015,3,12,ACME,4,6.05
2015,3,13,ACME,-996,8.01
2015,3,14,ACME,0,11.4
2015,3,15,ACME,8,4.76
2015,3,16,ACME,9,10.89
2015,3,17,ACME,0,12.54
2015,3,18,ACME,0,5
2015,3,19,ACME,4,9.21
2015,3,20,ACME,-996,6.03
2015,3,21,ACME,-996,3.64
2015,3,22,ACME,7,6.18
2015,3,23,ACME,7,14.28
2015,3,24,ACME,8,13.92
2015,3,25,ACME,8,19.24
2015,3,26,ACME,0,16.28
2015,3,27,ACME,0,8.84
2015,3,28,ACME,6,9.6
2015,3,29,ACME,7,13.83
2015,3,30,ACME,-996,5.92
2015,3,31,ACME,7,8.93
2015,4,1,ACME,8,16.19
2015,4,2,ACME,8,15.64
2015,4,3,ACME,0,19.87
2015,4,4,ACME,7,7.39
2015,4,5,ACME,7,13.91
2015,4,6,ACME,8,16.88
2015,4,7,ACME,8,18.53
2015,4,8,ACME,8,19.65
2015,4,9,ACME,0,15.97
2015,4,10,ACME,1,7.49
2015,4,11,ACME,-996,10.53
2015,4,12,ACME,7,15.62
2015,4,13,ACME,2,16.99
2015,4,14,ACME,1,9.84
2015,4,15,ACME,-996,7.13
2015,4,16,ACME,7,11.8
2015,4,17,ACME,6,8.67
2015,4,18,ACME,8,6.48
2015,4,19,ACME,15,10.3
2015,4,20,ACME,-996,5.02
2015,4,21,ACME,8,10.52
2015,4,22,ACME,7,11.49
2015,4,23,ACME,5,8.83
2015,4,24,ACME,7,15.23
2015,4,25,ACME,10,8.37
2015,4,26,ACME,3,10.5
2015,4,27,ACME,2,14.76
2015,4,28,ACME,-996,9.15
2015,4,29,ACME,-996,4.58
2015,4,30,ACME,-996,4.48
2015,5,1,ACME,6,4.85
2015,5,2,ACME,7,11.33
2015,5,3,ACME,8,15.3
2015,5,4,ACME,7,13.82
2015,5,5,ACME,6,14.25
2015,5,6,ACME,7,16.48
2015,5,7,ACME,7,12.82
2015,5,8,ACME,-996,7.17
2015,5,9,ACME,6,10.84
2015,5,10,ACME,7,10.37
2015,5,11,ACME,1,11.58
2015,5,12,ACME,-996,5.6
2015,5,13,ACME,6,10.11
2015,5,14,ACME,8,14.42
2015,5,15,ACME,7,14.61
2015,5,16,ACME,7,15.28
2015,5,17,ACME,9,9.57
2015,5,18,ACME,4,7.08
2015,5,19,ACME,3,11.13
2015,5,20,ACME,0,13.13
2015,5,21,ACME,1,9.92
2015,5,22,ACME,6,8.69
2015,5,23,ACME,6,13.22
2015,5,24,ACME,6,9.85
2015,5,25,ACME,-996,9.98
2015,5,26,ACME,7,9.53
2015,5,27,ACME,6,7.71
2015,5,28,ACME,7,10.53
2015,5,29,ACME,-996,4.44
2015,5,30,ACME,-996,9.95
2015,5,31,ACME,-996,4.74
2015,6,1,ACME,6,7.23
2015,6,2,ACME,7,12.61
2015,6,3,ACME,7,14
2015,6,4,ACME,7,11.76
2015,6,5,ACME,8,8.38
2015,6,6,ACME,7,7.94
2015,6,7,ACME,8,10.14
2015,6,8,ACME,1,4.8
2015,6,9,ACME,7,5.57
2015,6,10,ACME,7,8.64
2015,6,11,ACME,8,15.02
2015,6,12,ACME,7,11
2015,6,13,ACME,6,8.28
2015,6,14,ACME,7,10.21
2015,6,15,ACME,8,6.83
2015,6,16,ACME,6,5.83
2015,6,17,ACME,4,10.33
2015,6,18,ACME,15,11.45
2015,6,19,ACME,-996,5.69
2015,6,20,ACME,9,14.85
2015,6,21,ACME,8,13.07
2015,6,22,ACME,8,15.67
2015,6,23,ACME,8,9.77
2015,6,24,ACME,8,10.73
2015,6,25,ACME,8,11.05
2015,6,26,ACME,8,8.4
2015,6,27,ACME,-996,6.39
2015,6,28,ACME,8,7.67
2015,6,29,ACME,-996,6.25
2015,6,30,ACME,-996,5.26
2015,7,1,ACME,9,12.37
2015,7,2,ACME,9,11.45
2015,7,3,ACME,-996,6.81
2015,7,4,ACME,-996,5.35
2015,7,5,ACME,8,13.1
2015,7,6,ACME,8,15.61
2015,7,7,ACME,1,7.71
2015,7,8,ACME,15,5.76
2015,7,9,ACME,8,9.39
2015,7,10,ACME,8,12.52
2015,7,11,ACME,8,13.13
2015,7,12,ACME,8,13.17
2015,7,13,ACME,8,12.5
2015,7,14,ACME,8,9.06
2015,7,15,ACME,8,10.04
2015,7,16,ACME,8,11.85
2015,7,17,ACME,8,12.69
2015,7,18,ACME,8,12.95
2015,7,19,ACME,8,9.77
2015,7,20,ACME,8,9.26
2015,7,21,ACME,4,8.51
2015,7,22,ACME,8,9.43
2015,7,23,ACME,8,10.68
2015,7,24,ACME,8,9.2
2015,7,25,ACME,7,9.29
2015,7,26,ACME,7,9.08
2015,7,27,ACME,7,9.51
2015,7,28,ACME,8,11.51
2015,7,29,ACME,6,7.94
2015,7,30,ACME,3,6.59
2015,7,31,ACME,-996,5.76
2015,8,1,ACME,-996,5.23
2015,8,2,ACME,8,8.43
2015,8,3,ACME,6,6.13
2015,8,4,ACME,6,10.08
2015,8,5,ACME,8,10.27
2015,8,6,ACME,8,10.88
2015,8,7,ACME,8,9.42
2015,8,8,ACME,8,11.15
2015,8,9,ACME,8,11.37
2015,8,10,ACME,2,8.6
2015,8,11,ACME,3,7.12
2015,8,12,ACME,3,6.46
2015,8,13,ACME,6,6.82
2015,8,14,ACME,6,7.22
2015,8,15,ACME,-996,5.51
2015,8,16,ACME,-996,4.89
2015,8,17,ACME,6,8.11
2015,8,18,ACME,8,13
2015,8,19,ACME,1,9.48
2015,8,20,ACME,-996,5.19
2015,8,21,ACME,8,12.06
2015,8,22,ACME,7,14.61
2015,8,23,ACME,1,12
2015,8,24,ACME,2,6.21
2015,8,25,ACME,4,5.39
2015,8,26,ACME,7,7.5
2015,8,27,ACME,8,10.27
2015,8,28,ACME,8,9.27
2015,8,29,ACME,1,5.74
2015,8,30,ACME,-996,4.33
2015,8,31,ACME,8,12.02
2015,9,1,ACME,7,10.77
2015,9,2,ACME,7,10.52
2015,9,3,ACME,7,10.42
2015,9,4,ACME,7,9.68
2015,9,5,ACME,7,8.96
2015,9,6,ACME,7,8.66
2015,9,7,ACME,7,9.57
2015,9,8,ACME,9,10.96
2015,9,9,ACME,1,6.36
2015,9,10,ACME,-996,3.96
2015,9,11,ACME,3,10.22
2015,9,12,ACME,6,6.01
2015,9,13,ACME,7,15.42
2015,9,14,ACME,7,18.66
2015,9,15,ACME,7,14.79
2015,9,16,ACME,8,16.59
2015,9,17,ACME,8,16.91
2015,9,18,ACME,8,13.37
2015,9,19,ACME,2,10.42
2015,9,20,ACME,5,8.75
2015,9,21,ACME,7,7.76
2015,9,22,ACME,6,10.02
2015,9,23,ACME,6,9.71
2015,9,24,ACME,5,4.94
2015,9,25,ACME,-996,3.53
2015,9,26,ACME,-996,4.59
2015,9,27,ACME,-996,4.39
2015,9,28,ACME,6,4.51
2015,9,29,ACME,-996,4.74
2015,9,30,ACME,-996,6.22
2015,10,1,ACME,3,6.76
