H0240,Tue Jul 01 15:02:00 PDT 2003,30.401,-86.864,7.15,240
H0468,Tue Jul 01 15:05:00 PDT 2003,30.33,-87.16,2.24,40
H0175,Tue Jul 01 15:00:00 PDT 2003,30.0639,-81.5018,4.02,140
H0225,Tue Jul 01 15:01:00 PDT 2003,34,-84,1.34,120
H0569,Tue Jul 01 15:00:00 PDT 2003,34.94,-83.43,2.68,100
H0234,Tue Jul 01 15:02:00 PDT 2003,34.01422,-84.357376,1.79,90
H0573,Tue Jul 01 15:03:00 PDT 2003,43.062,-92.683,3.58,180
H0169,Tue Jul 01 15:03:00 PDT 2003,44.1518,-116.00726,3.13,170
H0427,Tue Jul 01 15:01:00 PDT 2003,40.49,-88.99,0,40
H0205,Tue Jul 01 15:02:00 PDT 2003,38.89,-94.75,0,190
H0287,Tue Jul 01 15:02:00 PDT 2003,42.41,-71.15,1.34,230
H0272,Tue Jul 01 15:01:00 PDT 2003,42.24,-71.58,0.89,280
H0518,Tue Jul 01 15:00:00 PDT 2003,42.467,-70.933,1.79,120
H0188,Tue Jul 01 15:01:00 PDT 2003,39.251,-76.521,1.34,230
H0373,Tue Jul 01 15:00:00 PDT 2003,42.32,-85.55,0.45,230
H0253,Tue Jul 01 15:00:00 PDT 2003,45.17205,-93.25664,0.89,190
H0307,Tue Jul 01 15:00:00 PDT 2003,44.81,-93.31,0,240
H0273,Tue Jul 01 15:00:00 PDT 2003,44.47,-94.81,4.92,170
H0354,Tue Jul 01 15:00:00 PDT 2003,45.306,-93.794,2.68,180
H0342,Tue Jul 01 15:00:00 PDT 2003,36.45,-89.92,1.34,340
H0491,Tue Jul 01 15:03:00 PDT 2003,36.04,-79.87,0.45,250
H0523,Tue Jul 01 15:01:00 PDT 2003,36.094,-80.411,0.45,240
H0263,Tue Jul 01 15:00:00 PDT 2003,35.28,-81.68,0.45,110
H0387,Tue Jul 01 15:00:00 PDT 2003,40.79,-96.63,3.13,140
H0241,Tue Jul 01 15:00:00 PDT 2003,41.12,-96.11,2.24,190
H0289,Tue Jul 01 15:00:00 PDT 2003,41.309994,-96.06035,0.89,190
H0582,Tue Jul 01 15:00:00 PDT 2003,40.501,-74.581,0,350
H0583,Tue Jul 01 15:00:00 PDT 2003,40.4,-74,1.34,210
H0476,Tue Jul 01 15:00:00 PDT 2003,40.384,-74.7749,0,250
H0526,Tue Jul 01 15:00:00 PDT 2003,40.67,-74.839,0,270
H0477,Tue Jul 01 15:00:00 PDT 2003,40.6,-74.4,1.79,70
H0177,Tue Jul 01 15:01:00 PDT 2003,41.2,-74.43,0,280
H0172,Tue Jul 01 15:00:00 PDT 2003,36.69,-108.5,1.34,130
H0145,Tue Jul 01 15:02:00 PDT 2003,40.718,-73.959,0,290
H0302,Tue Jul 01 15:00:00 PDT 2003,42.22,-78.27,1.79,250
