BMTC2,Blue_Mountain,Wed Sep 10 15:00:00 PDT 2003,1.79,14.00
QURC2,Quincy_Res,Wed Sep 10 15:00:00 PDT 2003,0.76,292.00
DHPC2,Diamond_Hill,Wed Sep 10 15:00:00 PDT 2003,0.63,0.00
EBBC2,Elbert,Wed Sep 10 15:00:00 PDT 2003,4.65,274.00
BHNC2,Brighton,Wed Sep 10 15:00:00 PDT 2003,4.43,343.00
SQWC2,Squaw_Mountain,Wed Sep 10 15:00:00 PDT 2003,1.88,30.00
HGCC2,Hiwan_G.C.,Wed Sep 10 15:00:00 PDT 2003,2.68,344.00
HIGC2,Highlands_Ranch_WTP,Wed Sep 10 15:00:00 PDT 2003,8.40,310.00
SAPC2,Salisbury_Park,Wed Sep 10 15:00:00 PDT 2003,5.14,304.00
COKC2,Castle_Rock,Wed Sep 10 15:00:00 PDT 2003,2.41,304.00
WRDC2,Ward_C-1,Wed Sep 10 15:00:00 PDT 2003,2.32,259.00
SFSC2,Sugarloaf,Wed Sep 10 15:00:00 PDT 2003,3.49,270.00
LEWC2,Louisville_Lake,Wed Sep 10 15:00:00 PDT 2003,7.33,310.00
CALC2,Cal-Wood_Ranch,Wed Sep 10 15:00:00 PDT 2003,1.12,270.00
BTRC2,Button_Rock,Wed Sep 10 15:00:00 PDT 2003,1.21,202.00
DUD06,Marston_Lake_North,Wed Sep 10 15:00:00 PDT 2003,3.13,255.00
H0002,KNCTODD1               Jefferson     NC,Wed Sep 10 15:00:00 PDT 2003,0.00,60.00
H0344,BlueStar Systems       Milford      OH,Wed Sep 10 15:00:00 PDT 2003,1.34,210.00
H0004,BoblandUSA             San Diego     CA,Wed Sep 10 15:02:00 PDT 2003,1.34,240.00
H0457,Corte Madera CA,Wed Sep 10 15:01:00 PDT 2003,2.24,190.00
H0010,Mac Weather            Charlottetown PE,Wed Sep 10 15:00:00 PDT 2003,2.24,10.00
H0012,Crowley TX WX Page     Crowley       TX,Wed Sep 10 15:01:00 PDT 2003,6.26,150.00
H0549,Danville		Alum Springs KY,Wed Sep 10 15:00:00 PDT 2003,0.00,10.00
H0017,Olathe        KS,Wed Sep 10 15:01:00 PDT 2003,3.58,180.00
H0020,Gilbert       AZ,Wed Sep 10 15:03:00 PDT 2003,0.00,190.00
H0500,Gilroy	     CA,Wed Sep 10 15:03:00 PDT 2003,1.34,330.00
H0024,Cornelius     OR,Wed Sep 10 15:01:00 PDT 2003,0.00,190.00
H0025,Dickinson     TX,Wed Sep 10 15:00:00 PDT 2003,0.00,0.00
H0029,Affton        MO,Wed Sep 10 15:00:00 PDT 2003,1.34,140.00
H0299,KALB Studios           Alexandria    LA,Wed Sep 10 15:00:00 PDT 2003,1.34,180.00
H0182,Apache Juncti AZ,Wed Sep 10 15:00:00 PDT 2003,2.24,270.00
H0462,Chandler     AZ,Wed Sep 10 15:00:00 PDT 2003,1.34,250.00
H0322,Phoenix       AZ,Wed Sep 10 15:00:00 PDT 2003,1.34,230.00
H0489,Pagosa Springs CO,Wed Sep 10 15:00:00 PDT 2003,1.34,150.00
H0031,Rainbow City  AL,Wed Sep 10 15:00:00 PDT 2003,0.00,70.00
H0032,Hendersonvill TN,Wed Sep 10 15:00:00 PDT 2003,0.45,200.00
H0498,Balboa	     CA,Wed Sep 10 15:00:00 PDT 2003,1.34,250.00
H0339,Williams Worship       Bellflower    CA,Wed Sep 10 15:01:00 PDT 2003,4.02,220.00
H0464,Citrus Heights CA,Wed Sep 10 15:00:00 PDT 2003,1.34,270.00
H0300,Cloverdale    CA,Wed Sep 10 15:03:00 PDT 2003,1.34,250.00
H0450,Dublin       CA,Wed Sep 10 15:00:00 PDT 2003,1.79,180.00
H0294,Rancho San Diego       El Cajon      CA,Wed Sep 10 15:00:00 PDT 2003,2.24,160.00
H0560,El Dorado Hills	Dartboard Wx CA,Wed Sep 10 15:00:00 PDT 2003,3.58,260.00
H0232,Emerald Hills          Redwood City  CA,Wed Sep 10 15:02:00 PDT 2003,2.24,0.00
H0266,Springville Networks   Fortuna       CA,Wed Sep 10 15:00:00 PDT 2003,3.13,300.00
H0562,Grizzly Flats			     CA,Wed Sep 10 15:03:00 PDT 2003,0.89,200.00
