AR005,HB9BA-8 Solothurn                    CH,Wed Sep 02 15:04:51 PDT 2009,0,0,,
AR006,HB9MZI Giubiasco                     CH,Wed Sep 02 15:02:40 PDT 2009,0,273,,
AR013,IK1ZYQ Dusino                        IT,Wed Sep 02 15:02:04 PDT 2009,0,155,,
AR020,IK3SVW-3 Treviso                     IT,Wed Sep 02 15:00:31 PDT 2009,2.24,332,,
AR023,I4GOS-3 Rimini                       IT,Wed Sep 02 15:04:32 PDT 2009,0,213,,
AR026,IK8ERL-2 Scilla                      IT,Wed Sep 02 15:03:12 PDT 2009,0,155,,
AR027,IZ8GMP-2 Reggio Calabria             IT,Wed Sep 02 15:00:36 PDT 2009,0,54,,
AR028,IW8PCP-2 Gambarie d'Aspromonte       IT,Wed Sep 02 15:03:02 PDT 2009,0,50,,
AR058,VK3YWY-1 Kyneton                     AU,Wed Sep 02 15:04:21 PDT 2009,3.13,260,,
AR061,VK3YLV Horsham                       AU,Wed Sep 02 15:05:08 PDT 2009,1.34,4,,
AR065,ZL3ND Upper Rakiva                   NZ,Wed Sep 02 15:02:46 PDT 2009,1.79,94,,
AR067,N6WKZ-9 Twentynine Palms          CA US,Wed Sep 02 15:02:11 PDT 2009,4.47,229,,
AR092,DB0XHI Reutlingen                    DE,Wed Sep 02 15:02:11 PDT 2009,0,225,,
AR098,EA3AGQ-1 Montsec d'Ares              ES,Wed Sep 02 15:02:54 PDT 2009,0,295,,
AR106,N6FKW Auberry                     CA US,Wed Sep 02 15:03:34 PDT 2009,0,309,,
AR110,EA3CNO-1 Barcelona                   ES,Wed Sep 02 15:01:22 PDT 2009,0,289,,
AR118,F6DEV-5 Rimont                       FR,Wed Sep 02 15:00:20 PDT 2009,1.34,202,,
AR138,K7LHC-1 Lake Havasu               AZ US,Wed Sep 02 15:04:34 PDT 2009,2.24,107,,
AR148,K6DYC Delta                       CO US,Wed Sep 02 15:01:09 PDT 2009,1.79,341,,
AR159,KD6VLN-14 Tucson                  AZ US,Wed Sep 02 15:00:33 PDT 2009,2.68,290,,
AR160,NEWPRT Cape Foulweather           OR US,Wed Sep 02 15:04:10 PDT 2009,0,0,,
AR161,KD7DR-3 Pinal Peak                AZ US,Wed Sep 02 15:01:10 PDT 2009,5.81,231,,
AR164,KF6NY Mtn. Ranch                  CA US,Wed Sep 02 15:05:02 PDT 2009,0,267,,
AR172,W6TQP Soquel                      CA US,Wed Sep 02 15:00:26 PDT 2009,1.79,147,,
AR173,LA2YEA Hauglandshella                NO,Wed Sep 02 15:02:32 PDT 2009,0.45,135,,
AR180,WB6YPF Altadena                   CA US,Wed Sep 02 15:00:26 PDT 2009,2.24,222,,
AR181,KE6ONT Duarte                     CA US,Wed Sep 02 15:02:33 PDT 2009,2.68,241,,
AR190,N6GIW Landers                     CA US,Wed Sep 02 15:05:00 PDT 2009,3.58,223,,
AR196,N7CK Benson                       AZ US,Wed Sep 02 15:04:18 PDT 2009,0.45,147,,
AR205,OE9FWV Feldkirch                     AT,Wed Sep 02 15:05:08 PDT 2009,0,278,,
AR225,KG6QHS Shingletown                CA US,Wed Sep 02 15:03:33 PDT 2009,4.02,194,,
AR232,KC7RJK-2 Eugene                   OR US,Wed Sep 02 15:03:27 PDT 2009,2.24,225,,
AR266,KJ7XE Eatonville                  WA US,Wed Sep 02 15:02:59 PDT 2009,0.89,314,,
