BMTC2,Blue_Mountain,Mon Aug 26 15:00:00 PDT 2002,1.79,0.00
QURC2,Quincy_Res,Mon Aug 26 15:00:00 PDT 2002,2.82,22.00
DHPC2,Diamond_Hill,Mon Aug 26 15:00:00 PDT 2002,0.85,22.00
EBBC2,Elbert,Mon Aug 26 15:00:00 PDT 2002,3.71,114.00
BHNC2,Brighton,Mon Aug 26 15:00:00 PDT 2002,0.54,39.00
SQWC2,Squaw_Mountain,Mon Aug 26 15:00:00 PDT 2002,1.83,213.00
HGCC2,Hiwan_G.C.,Mon Aug 26 15:00:00 PDT 2002,1.79,89.00
HIGC2,Highlands_Ranch_WTP,Mon Aug 26 15:00:00 PDT 2002,1.12,73.00
SAPC2,Salisbury_Park,Mon Aug 26 15:00:00 PDT 2002,1.70,118.00
COKC2,Castle_Rock,Mon Aug 26 15:00:00 PDT 2002,1.56,90.00
SFSC2,Sugarloaf,Mon Aug 26 15:00:00 PDT 2002,1.70,84.00
LEWC2,Louisville_Lake,Mon Aug 26 15:00:00 PDT 2002,1.61,56.00
CALC2,Cal-Wood_Ranch,Mon Aug 26 15:00:00 PDT 2002,0.94,84.00
BTRC2,Button_Rock,Mon Aug 26 15:00:00 PDT 2002,1.48,146.00
URBC2,Urban Farm at Stapleton,Mon Aug 26 15:00:00 PDT 2002,2.24,231.00
H0003,Black River Electric   Fredericktown MO,Mon Aug 26 15:02:00 PDT 2002,1.34,80.00
H0344,BlueStar Systems       Milford      OH,Mon Aug 26 15:01:00 PDT 2002,2.68,210.00
H0004,BoblandUSA             San Diego     CA,Mon Aug 26 15:02:00 PDT 2002,0.00,270.00
H0005,Acton         ON,Mon Aug 26 15:01:00 PDT 2002,1.79,300.00
H0010,Mac Weather            Charlottetown PE,Mon Aug 26 15:03:00 PDT 2002,1.34,280.00
H0012,Crowley TX WX Page     Crowley       TX,Mon Aug 26 15:00:00 PDT 2002,0.45,90.00
H0449,West Houston	        Houston	     TX,Mon Aug 26 15:00:00 PDT 2002,0.89,230.00
H0021,St Catharines ON,Mon Aug 26 15:02:00 PDT 2002,0.89,270.00
H0024,Cornelius     OR,Mon Aug 26 15:01:00 PDT 2002,1.79,350.00
H0445,Arlington Street	South Patrick Shores FL,Mon Aug 26 15:02:00 PDT 2002,0.89,160.00
H0432,Melville     NY,Mon Aug 26 15:00:00 PDT 2002,0.00,100.00
H0029,Affton        MO,Mon Aug 26 15:01:00 PDT 2002,0.00,90.00
H0421,Spanish Fort           Daphne	     AL,Mon Aug 26 15:00:00 PDT 2002,0.00,320.00
H0182,Apache Juncti AZ,Mon Aug 26 15:01:00 PDT 2002,2.24,270.00
H0030,Harrisburg             Lowville      NY,Mon Aug 26 15:01:00 PDT 2002,1.34,280.00
H0031,Rainbow City  AL,Mon Aug 26 15:00:00 PDT 2002,0.00,20.00
H0032,Hendersonvill TN,Mon Aug 26 15:01:00 PDT 2002,0.89,120.00
H0339,Williams Worship       Bellflower    CA,Mon Aug 26 15:01:00 PDT 2002,1.79,320.00
H0252,Chula Vista   CA,Mon Aug 26 15:01:00 PDT 2002,0.89,280.00
H0266,Springville Networks   Fortuna       CA,Mon Aug 26 15:01:00 PDT 2002,4.02,270.00
H0158,Lancaster     CA,Mon Aug 26 15:01:00 PDT 2002,7.60,280.00
H0268,Sacramento    CA,Mon Aug 26 15:01:00 PDT 2002,4.47,330.00
H0164,San Luis Obis CA,Mon Aug 26 15:00:00 PDT 2002,8.05,300.00
H0269,South Valley Internet  San Martin    CA,Mon Aug 26 15:00:00 PDT 2002,1.79,330.00
H0442,Whittier     CA,Mon Aug 26 15:00:00 PDT 2002,2.24,150.00
H0349,Boulder       CO,Mon Aug 26 15:01:00 PDT 2002,0.89,40.00
H0209,Pioneer Creek Ranch    Silverthorne  CO,Mon Aug 26 15:01:00 PDT 2002,2.24,170.00
H0325,Summit County CO,Mon Aug 26 15:01:00 PDT 2002,1.34,310.00
H0350,Barn Hill              Monroe        CT,Mon Aug 26 15:00:00 PDT 2002,0.00,190.00
H0206,Stonybrook             Norwalk       CT,Mon Aug 26 15:00:00 PDT 2002,0.00,280.00
H0036,Dunstable     MA,Mon Aug 26 15:00:00 PDT 2002,1.34,270.00
H0038,Kennesaw      GA,Mon Aug 26 15:01:00 PDT 2002,0.00,170.00
H0412,Santa Teresa           San Jose     CA,Mon Aug 26 15:01:00 PDT 2002,1.34,310.00
H0224,Boynton Beach FL,Mon Aug 26 15:00:00 PDT 2002,4.92,150.00
H0351,Port St. John Weather  Cocoa         FL,Mon Aug 26 15:01:00 PDT 2002,0.00,180.00
H0240,Santa Rosa Sound       Navarre       FL,Mon Aug 26 15:02:00 PDT 2002,4.02,240.00
H0315,Memory Makers, Inc.    Sebastian     FL,Mon Aug 26 15:03:00 PDT 2002,0.00,130.00
H0409,Auburn       GA,Mon Aug 26 15:01:00 PDT 2002,0.45,130.00
H0225,FarPointe              Ball Ground   GA,Mon Aug 26 15:01:00 PDT 2002,0.00,60.00
H0296,KD4K                   Cumming       GA,Mon Aug 26 15:01:00 PDT 2002,0.00,100.00
H0234,Roswell       GA,Mon Aug 26 15:01:00 PDT 2002,0.00,120.00
H0041,Piedmont Triad Weather Greensboro    NC,Mon Aug 26 15:02:00 PDT 2002,0.00,30.00
H0195,Van Meter     IA,Mon Aug 26 15:02:00 PDT 2002,0.00,320.00
H0169,Castle Mountain        Garden Valley ID,Mon Aug 26 15:03:00 PDT 2002,0.00,140.00
H0427,Bloomington  IL,Mon Aug 26 15:01:00 PDT 2002,0.45,50.00
H0261,Crystal Lake  IL,Mon Aug 26 15:00:00 PDT 2002,0.89,10.00
H0286,KIMT Studios           Mason City    IA,Mon Aug 26 15:00:00 PDT 2002,1.34,30.00
H0205,Olathe        KS,Mon Aug 26 15:01:00 PDT 2002,0.00,360.00
H0287,Arlington Center       Arlington     MA,Mon Aug 26 15:01:00 PDT 2002,0.00,220.00
H0272,WoodvilleGr1           Hopkinton     MA,Mon Aug 26 15:01:00 PDT 2002,2.24,260.00
H0156,Raymond       ME,Mon Aug 26 15:01:00 PDT 2002,0.00,180.00
H0307,Bloomington   MN,Mon Aug 26 15:01:00 PDT 2002,0.00,150.00
H0327,Duluth        MN,Mon Aug 26 15:00:00 PDT 2002,4.47,70.00
H0273,Minnesotaweathernet    Franklin      MN,Mon Aug 26 15:00:00 PDT 2002,2.68,40.00
H0354,Monticello    MN,Mon Aug 26 15:01:00 PDT 2002,0.45,100.00
H0216,Vadnais Heigh MN,Mon Aug 26 15:01:00 PDT 2002,1.79,90.00
H0342,Gideon School District Gideon        MO,Mon Aug 26 15:00:00 PDT 2002,0.89,0.00
H0263,WeatherSource          Shelby        NC,Mon Aug 26 15:00:00 PDT 2002,2.24,110.00
H0335,MSFTRNCS Weather Web   Hooper        NE,Mon Aug 26 15:00:00 PDT 2002,1.79,120.00
H0387,North Holmes           Lake Lincoln NE,Mon Aug 26 15:00:00 PDT 2002,0.89,100.00
H0177,Highland Lakes         Vernon Twsp   NJ,Mon Aug 26 15:01:00 PDT 2002,0.00,280.00
H0172,Morgan Lake at 4 Crnrs Upper Fruitla NM,Mon Aug 26 15:00:00 PDT 2002,2.24,250.00
H0217,White Mountain Meadows Ruidoso       NM,Mon Aug 26 15:00:00 PDT 2002,2.24,210.00
H0042,Knoxville     TN,Mon Aug 26 15:01:00 PDT 2002,0.89,260.00
H0302,Cuba          NY,Mon Aug 26 15:03:00 PDT 2002,0.00,70.00
H0357,Hempstead     NY,Mon Aug 26 15:01:00 PDT 2002,0.00,150.00
H0453,Neversink Reservoir	Neversink    NY,Mon Aug 26 15:01:00 PDT 2002,0.00,330.00
H0308,New City      NY,Mon Aug 26 15:00:00 PDT 2002,0.00,210.00
H0141,Sloatsburg    NY,Mon Aug 26 15:00:00 PDT 2002,0.00,70.00
H0251,Vestal        NY,Mon Aug 26 15:00:00 PDT 2002,1.79,30.00
H0173,Chardon       OH,Mon Aug 26 15:01:00 PDT 2002,1.79,320.00
H0291,Colerain Township      Cincinnati    OH,Mon Aug 26 15:01:00 PDT 2002,1.34,290.00
H0309,Columbus      OH,Mon Aug 26 15:01:00 PDT 2002,0.45,0.00
H0220,Hillsboro     OR,Mon Aug 26 15:00:00 PDT 2002,2.24,220.00
H0227,Turner        OR,Mon Aug 26 15:00:00 PDT 2002,4.47,350.00
H0179,Masons Mill Bus. Park  Bryn Athyn    PA,Mon Aug 26 15:01:00 PDT 2002,1.34,30.00
H0336,Malvern       PA,Mon Aug 26 15:00:00 PDT 2002,0.00,320.00
H0229,Audubon Society of W PA Fox Chapel   PA,Mon Aug 26 15:01:00 PDT 2002,0.00,300.00
H0043,WX for West PA/East OH Sharon        PA,Mon Aug 26 15:01:00 PDT 2002,0.00,40.00
H0298,Terricita Hills        Rapid City    SD,Mon Aug 26 15:04:00 PDT 2002,1.34,110.00
H0396,Williamson             County Franklin TN,Mon Aug 26 15:01:00 PDT 2002,1.34,330.00
H0367,Allandale    TX,Mon Aug 26 15:00:00 PDT 2002,0.00,40.00
H0318,Austin        TX,Mon Aug 26 15:01:00 PDT 2002,1.34,190.00
H0360,Corinth       TX,Mon Aug 26 15:05:00 PDT 2002,2.68,100.00
H0152,Frisco        TX,Mon Aug 26 15:01:00 PDT 2002,0.00,200.00
H0180,Georgetown    TX,Mon Aug 26 15:01:00 PDT 2002,1.34,140.00
H0361,R and K Weather        Houston       TX,Mon Aug 26 15:00:00 PDT 2002,0.45,320.00
H0278,TeleHobbies            Rockwall      TX,Mon Aug 26 15:02:00 PDT 2002,0.89,60.00
H0418,Brushy Creek           Round Rock   TX,Mon Aug 26 15:00:00 PDT 2002,4.02,110.00
H0280,Taylor        TX,Mon Aug 26 15:00:00 PDT 2002,2.24,160.00
H0148,Rosehill Ranches       Tomball       TX,Mon Aug 26 15:01:00 PDT 2002,0.00,260.00
H0293,Harrisonburg  VA,Mon Aug 26 15:01:00 PDT 2002,1.34,240.00
H0231,New Canton    VA,Mon Aug 26 15:01:00 PDT 2002,0.00,240.00
H0174,Walnut Hill Weather    Petersburg    VA,Mon Aug 26 15:00:00 PDT 2002,0.00,180.00
H0363,Darrington    WA,Mon Aug 26 15:01:00 PDT 2002,1.79,220.00
H0423,Middleboro   MA,Mon Aug 26 15:01:00 PDT 2002,2.24,230.00
H0099,Mountain High Resort   Wrightwood    CA,Mon Aug 26 15:01:00 PDT 2002,1.34,110.00
H0424,Carson City	        Carson City  NV,Mon Aug 26 15:00:00 PDT 2002,1.34,350.00
H0062,Northeast Raleigh      Raleigh       NC,Mon Aug 26 15:01:00 PDT 2002,1.79,60.00
H0068,St. Cloud     MN,Mon Aug 26 15:00:00 PDT 2002,0.89,100.00
