BMTC2,Blue_Mountain,Fri Sep 27 16:00:00 PDT 2002,4.92,319.00
DHPC2,Diamond_Hill,Fri Sep 27 16:00:00 PDT 2002,5.45,186.00
EBBC2,Elbert,Fri Sep 27 16:00:00 PDT 2002,5.01,142.00
BHNC2,Brighton,Fri Sep 27 16:00:00 PDT 2002,4.56,174.00
SQWC2,Squaw_Mountain,Fri Sep 27 16:00:00 PDT 2002,3.31,234.00
HIGC2,Highlands_Ranch_WTP,Fri Sep 27 16:00:00 PDT 2002,4.11,169.00
COKC2,Castle_Rock,Fri Sep 27 16:00:00 PDT 2002,2.95,191.00
WRDC2,Ward_C-1,Fri Sep 27 16:00:00 PDT 2002,4.11,259.00
SFSC2,Sugarloaf,Fri Sep 27 16:00:00 PDT 2002,4.83,270.00
LEWC2,Louisville_Lake,Fri Sep 27 16:00:00 PDT 2002,15.02,214.00
CALC2,Cal-Wood_Ranch,Fri Sep 27 16:00:00 PDT 2002,3.44,248.00
BTRC2,Button_Rock,Fri Sep 27 16:00:00 PDT 2002,3.62,264.00
URBC2,Urban Farm at Stapleton,Fri Sep 27 16:00:00 PDT 2002,7.15,180.00
H0003,Black River Electric   Fredericktown MO,Fri Sep 27 16:02:00 PDT 2002,1.34,350.00
H0344,BlueStar Systems       Milford      OH,Fri Sep 27 16:00:00 PDT 2002,0.00,90.00
H0005,Acton         ON,Fri Sep 27 16:01:00 PDT 2002,2.68,360.00
H0010,Mac Weather            Charlottetown PE,Fri Sep 27 16:03:00 PDT 2002,1.34,170.00
H0012,Crowley TX WX Page     Crowley       TX,Fri Sep 27 16:01:00 PDT 2002,1.34,100.00
H0449,West Houston	        Houston	     TX,Fri Sep 27 16:00:00 PDT 2002,1.79,90.00
H0024,Cornelius     OR,Fri Sep 27 16:02:00 PDT 2002,2.68,10.00
H0445,Arlington Street	South Patrick Shores FL,Fri Sep 27 16:01:00 PDT 2002,3.13,120.00
H0029,Affton        MO,Fri Sep 27 16:02:00 PDT 2002,0.00,350.00
H0182,Apache Juncti AZ,Fri Sep 27 16:01:00 PDT 2002,2.68,230.00
H0030,Harrisburg             Lowville      NY,Fri Sep 27 16:02:00 PDT 2002,0.00,70.00
H0031,Rainbow City  AL,Fri Sep 27 16:00:00 PDT 2002,2.24,0.00
H0032,Hendersonvill TN,Fri Sep 27 16:01:00 PDT 2002,0.00,0.00
H0339,Williams Worship       Bellflower    CA,Fri Sep 27 16:01:00 PDT 2002,2.68,310.00
H0252,Chula Vista   CA,Fri Sep 27 16:01:00 PDT 2002,0.89,270.00
H0223,Petroglyph Computing   Crestline     CA,Fri Sep 27 16:01:00 PDT 2002,0.00,300.00
H0153,Coyote Weather         Fort Bragg    CA,Fri Sep 27 16:01:00 PDT 2002,1.79,180.00
H0266,Springville Networks   Fortuna       CA,Fri Sep 27 16:01:00 PDT 2002,3.13,300.00
H0268,Sacramento    CA,Fri Sep 27 16:00:00 PDT 2002,0.45,250.00
H0164,San Luis Obis CA,Fri Sep 27 16:00:00 PDT 2002,4.92,210.00
H0269,South Valley Internet  San Martin    CA,Fri Sep 27 16:01:00 PDT 2002,1.34,230.00
H0442,Whittier     CA,Fri Sep 27 16:00:00 PDT 2002,1.79,140.00
H0349,Boulder       CO,Fri Sep 27 16:01:00 PDT 2002,2.24,260.00
H0305,Cozmos Weather Watch   Pueblo        CO,Fri Sep 27 16:01:00 PDT 2002,0.45,230.00
H0325,Summit County CO,Fri Sep 27 16:01:00 PDT 2002,1.34,120.00
H0036,Dunstable     MA,Fri Sep 27 16:00:00 PDT 2002,0.00,120.00
H0038,Kennesaw      GA,Fri Sep 27 16:01:00 PDT 2002,0.00,110.00
H0224,Boynton Beach FL,Fri Sep 27 16:00:00 PDT 2002,0.00,170.00
H0351,Port St. John Weather  Cocoa         FL,Fri Sep 27 16:01:00 PDT 2002,0.00,250.00
H0296,KD4K                   Cumming       GA,Fri Sep 27 16:01:00 PDT 2002,0.00,270.00
H0186,Dalton        GA,Fri Sep 27 16:01:00 PDT 2002,0.89,320.00
H0234,Roswell       GA,Fri Sep 27 16:01:00 PDT 2002,0.00,200.00
H0041,Piedmont Triad Weather Greensboro    NC,Fri Sep 27 16:02:00 PDT 2002,1.34,270.00
H0195,Van Meter     IA,Fri Sep 27 16:02:00 PDT 2002,0.89,40.00
H0169,Castle Mountain        Garden Valley ID,Fri Sep 27 16:03:00 PDT 2002,0.45,330.00
H0427,Bloomington  IL,Fri Sep 27 16:01:00 PDT 2002,0.00,350.00
H0261,Crystal Lake  IL,Fri Sep 27 16:00:00 PDT 2002,1.79,350.00
H0286,KIMT Studios           Mason City    IA,Fri Sep 27 16:00:00 PDT 2002,1.79,60.00
H0369,East side of I65       Crothersville IN,Fri Sep 27 16:03:00 PDT 2002,0.00,320.00
H0205,Olathe        KS,Fri Sep 27 16:01:00 PDT 2002,0.00,110.00
H0287,Arlington Center       Arlington     MA,Fri Sep 27 16:02:00 PDT 2002,0.00,180.00
H0212,Brockton      MA,Fri Sep 27 16:02:00 PDT 2002,0.00,190.00
H0307,Bloomington   MN,Fri Sep 27 16:01:00 PDT 2002,0.00,90.00
H0327,Duluth        MN,Fri Sep 27 16:00:00 PDT 2002,1.79,30.00
H0273,Minnesotaweathernet    Franklin      MN,Fri Sep 27 16:00:00 PDT 2002,0.00,70.00
H0354,Monticello    MN,Fri Sep 27 16:01:00 PDT 2002,0.00,180.00
H0342,Gideon School District Gideon        MO,Fri Sep 27 16:00:00 PDT 2002,0.89,330.00
H0263,WeatherSource          Shelby        NC,Fri Sep 27 16:00:00 PDT 2002,0.00,0.00
H0335,MSFTRNCS Weather Web   Hooper        NE,Fri Sep 27 16:00:00 PDT 2002,1.34,70.00
H0387,North Holmes           Lake Lincoln NE,Fri Sep 27 16:00:00 PDT 2002,0.45,90.00
H0289,Omaha         NE,Fri Sep 27 16:01:00 PDT 2002,0.00,120.00
H0177,Highland Lakes         Vernon Twsp   NJ,Fri Sep 27 16:02:00 PDT 2002,2.24,200.00
H0172,Morgan Lake at 4 Crnrs Upper Fruitla NM,Fri Sep 27 16:01:00 PDT 2002,1.34,250.00
H0217,White Mountain Meadows Ruidoso       NM,Fri Sep 27 16:00:00 PDT 2002,1.79,240.00
H0042,Knoxville     TN,Fri Sep 27 16:00:00 PDT 2002,0.00,280.00
H0137,Babylon Village        Babylon       NY,Fri Sep 27 16:01:00 PDT 2002,1.34,180.00
H0302,Cuba          NY,Fri Sep 27 16:03:00 PDT 2002,0.00,20.00
H0453,Neversink Reservoir	Neversink    NY,Fri Sep 27 16:00:00 PDT 2002,1.79,60.00
H0308,New City      NY,Fri Sep 27 16:00:00 PDT 2002,0.00,220.00
H0141,Sloatsburg    NY,Fri Sep 27 16:00:00 PDT 2002,1.34,230.00
H0309,Columbus      OH,Fri Sep 27 16:01:00 PDT 2002,0.45,290.00
H0159,Old Town               Sherwood      OR,Fri Sep 27 16:02:00 PDT 2002,0.00,340.00
H0227,Turner        OR,Fri Sep 27 16:00:00 PDT 2002,3.13,20.00
H0179,Masons Mill Bus. Park  Bryn Athyn    PA,Fri Sep 27 16:01:00 PDT 2002,0.45,110.00
H0243,Columbia      PA,Fri Sep 27 16:01:00 PDT 2002,1.79,230.00
H0336,Malvern       PA,Fri Sep 27 16:00:00 PDT 2002,0.00,180.00
H0110,San Juan      PR,Fri Sep 27 16:00:00 PDT 2002,0.00,360.00
H0043,WX for West PA/East OH Sharon        PA,Fri Sep 27 16:01:00 PDT 2002,2.24,40.00
H0396,Williamson             County Franklin TN,Fri Sep 27 16:01:00 PDT 2002,0.45,260.00
H0161,Hopi Trail             Austin        TX,Fri Sep 27 16:00:00 PDT 2002,0.00,190.00
H0367,Allandale    TX,Fri Sep 27 16:00:00 PDT 2002,1.34,190.00
H0318,Austin        TX,Fri Sep 27 16:02:00 PDT 2002,0.89,140.00
H0360,Corinth       TX,Fri Sep 27 16:00:00 PDT 2002,3.13,80.00
H0152,Frisco        TX,Fri Sep 27 16:01:00 PDT 2002,0.00,140.00
H0162,Howe          TX,Fri Sep 27 16:02:00 PDT 2002,0.00,90.00
H0278,TeleHobbies            Rockwall      TX,Fri Sep 27 16:02:00 PDT 2002,0.89,320.00
